slot,user_id,traffic_type,arrivals_bits,delivered_bits,capacity_bits,buffer_bits,sinr_linear,rbg_count
30,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
30,1,URLLC,911.0,911.0,466140.82221938553,0.0,459065516.66790885,3
30,2,mMTC,477.0,477.0,420777.7362791648,0.0,65907271.80327702,3
30,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
30,4,URLLC,882.0,882.0,548502.0179661575,0.0,15571072400.887222,3
30,5,mMTC,451.0,451.0,288479.4971601925,0.0,109857988.36116448,2
31,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
31,1,URLLC,890.0,890.0,466140.82221938553,0.0,459065516.66790885,3
31,2,mMTC,433.0,433.0,420777.7362791648,0.0,65907271.80327702,3
31,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
31,4,URLLC,800.0,800.0,548502.0179661575,0.0,15571072400.887222,3
31,5,mMTC,469.0,469.0,288479.4971601925,0.0,109857988.36116448,2
32,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
32,1,URLLC,853.0,853.0,466140.82221938553,0.0,459065516.66790885,3
32,2,mMTC,464.0,464.0,420777.7362791648,0.0,65907271.80327702,3
32,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
32,4,URLLC,903.0,903.0,548502.0179661575,0.0,15571072400.887222,3
32,5,mMTC,400.0,400.0,288479.4971601925,0.0,109857988.36116448,2
33,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
33,1,URLLC,896.0,896.0,466140.82221938553,0.0,459065516.66790885,3
33,2,mMTC,447.0,447.0,420777.7362791648,0.0,65907271.80327702,3
33,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
33,4,URLLC,921.0,921.0,548502.0179661575,0.0,15571072400.887222,3
33,5,mMTC,443.0,443.0,288479.4971601925,0.0,109857988.36116448,2
34,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
34,1,URLLC,926.0,926.0,466140.82221938553,0.0,459065516.66790885,3
34,2,mMTC,441.0,441.0,420777.7362791648,0.0,65907271.80327702,3
34,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
34,4,URLLC,858.0,858.0,548502.0179661575,0.0,15571072400.887222,3
34,5,mMTC,449.0,449.0,288479.4971601925,0.0,109857988.36116448,2
35,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
35,1,URLLC,907.0,907.0,466140.82221938553,0.0,459065516.66790885,3
35,2,mMTC,450.0,450.0,420777.7362791648,0.0,65907271.80327702,3
35,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
35,4,URLLC,886.0,886.0,548502.0179661575,0.0,15571072400.887222,3
35,5,mMTC,437.0,437.0,288479.4971601925,0.0,109857988.36116448,2
36,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
36,1,URLLC,822.0,822.0,466140.82221938553,0.0,459065516.66790885,3
36,2,mMTC,472.0,472.0,420777.7362791648,0.0,65907271.80327702,3
36,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
36,4,URLLC,891.0,891.0,548502.0179661575,0.0,15571072400.887222,3
36,5,mMTC,446.0,446.0,288479.4971601925,0.0,109857988.36116448,2
37,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
37,1,URLLC,861.0,861.0,466140.82221938553,0.0,459065516.66790885,3
37,2,mMTC,440.0,440.0,420777.7362791648,0.0,65907271.80327702,3
37,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
37,4,URLLC,905.0,905.0,548502.0179661575,0.0,15571072400.887222,3
37,5,mMTC,439.0,439.0,288479.4971601925,0.0,109857988.36116448,2
38,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
38,1,URLLC,893.0,893.0,466140.82221938553,0.0,459065516.66790885,3
38,2,mMTC,456.0,456.0,420777.7362791648,0.0,65907271.80327702,3
38,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
38,4,URLLC,838.0,838.0,548502.0179661575,0.0,15571072400.887222,3
38,5,mMTC,489.0,489.0,288479.4971601925,0.0,109857988.36116448,2
39,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
39,1,URLLC,883.0,883.0,466140.82221938553,0.0,459065516.66790885,3
39,2,mMTC,444.0,444.0,420777.7362791648,0.0,65907271.80327702,3
39,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
39,4,URLLC,954.0,954.0,548502.0179661575,0.0,15571072400.887222,3
39,5,mMTC,426.0,426.0,288479.4971601925,0.0,109857988.36116448,2
40,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
40,1,URLLC,848.0,848.0,466140.82221938553,0.0,459065516.66790885,3
40,2,mMTC,413.0,413.0,420777.7362791648,0.0,65907271.80327702,3
40,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
40,4,URLLC,838.0,838.0,548502.0179661575,0.0,15571072400.887222,3
40,5,mMTC,471.0,471.0,288479.4971601925,0.0,109857988.36116448,2
41,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
41,1,URLLC,923.0,923.0,466140.82221938553,0.0,459065516.66790885,3
41,2,mMTC,417.0,417.0,420777.7362791648,0.0,65907271.80327702,3
41,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
41,4,URLLC,904.0,904.0,548502.0179661575,0.0,15571072400.887222,3
41,5,mMTC,461.0,461.0,288479.4971601925,0.0,109857988.36116448,2
42,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
42,1,URLLC,873.0,873.0,466140.82221938553,0.0,459065516.66790885,3
42,2,mMTC,463.0,463.0,420777.7362791648,0.0,65907271.80327702,3
42,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
42,4,URLLC,882.0,882.0,548502.0179661575,0.0,15571072400.887222,3
42,5,mMTC,436.0,436.0,288479.4971601925,0.0,109857988.36116448,2
43,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
43,1,URLLC,930.0,930.0,466140.82221938553,0.0,459065516.66790885,3
43,2,mMTC,463.0,463.0,420777.7362791648,0.0,65907271.80327702,3
43,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
43,4,URLLC,848.0,848.0,548502.0179661575,0.0,15571072400.887222,3
43,5,mMTC,447.0,447.0,288479.4971601925,0.0,109857988.36116448,2
44,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
44,1,URLLC,877.0,877.0,466140.82221938553,0.0,459065516.66790885,3
44,2,mMTC,440.0,440.0,420777.7362791648,0.0,65907271.80327702,3
44,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
44,4,URLLC,940.0,940.0,548502.0179661575,0.0,15571072400.887222,3
44,5,mMTC,435.0,435.0,288479.4971601925,0.0,109857988.36116448,2
45,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
45,1,URLLC,961.0,961.0,466140.82221938553,0.0,459065516.66790885,3
45,2,mMTC,454.0,454.0,420777.7362791648,0.0,65907271.80327702,3
45,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
45,4,URLLC,874.0,874.0,548502.0179661575,0.0,15571072400.887222,3
45,5,mMTC,457.0,457.0,288479.4971601925,0.0,109857988.36116448,2
46,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
46,1,URLLC,920.0,920.0,466140.82221938553,0.0,459065516.66790885,3
46,2,mMTC,413.0,413.0,420777.7362791648,0.0,65907271.80327702,3
46,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
46,4,URLLC,831.0,831.0,548502.0179661575,0.0,15571072400.887222,3
46,5,mMTC,443.0,443.0,288479.4971601925,0.0,109857988.36116448,2
47,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
47,1,URLLC,880.0,880.0,466140.82221938553,0.0,459065516.66790885,3
47,2,mMTC,420.0,420.0,420777.7362791648,0.0,65907271.80327702,3
47,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
47,4,URLLC,903.0,903.0,548502.0179661575,0.0,15571072400.887222,3
47,5,mMTC,411.0,411.0,288479.4971601925,0.0,109857988.36116448,2
48,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
48,1,URLLC,839.0,839.0,466140.82221938553,0.0,459065516.66790885,3
48,2,mMTC,459.0,459.0,420777.7362791648,0.0,65907271.80327702,3
48,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
48,4,URLLC,882.0,882.0,548502.0179661575,0.0,15571072400.887222,3
48,5,mMTC,439.0,439.0,288479.4971601925,0.0,109857988.36116448,2
49,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
49,1,URLLC,919.0,919.0,466140.82221938553,0.0,459065516.66790885,3
49,2,mMTC,442.0,442.0,420777.7362791648,0.0,65907271.80327702,3
49,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
49,4,URLLC,850.0,850.0,548502.0179661575,0.0,15571072400.887222,3
49,5,mMTC,402.0,402.0,288479.4971601925,0.0,109857988.36116448,2
50,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
50,1,URLLC,852.0,852.0,466140.82221938553,0.0,459065516.66790885,3
50,2,mMTC,462.0,462.0,420777.7362791648,0.0,65907271.80327702,3
50,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
50,4,URLLC,973.0,973.0,548502.0179661575,0.0,15571072400.887222,3
50,5,mMTC,433.0,433.0,288479.4971601925,0.0,109857988.36116448,2
51,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
51,1,URLLC,839.0,839.0,466140.82221938553,0.0,459065516.66790885,3
51,2,mMTC,454.0,454.0,420777.7362791648,0.0,65907271.80327702,3
51,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
51,4,URLLC,889.0,889.0,548502.0179661575,0.0,15571072400.887222,3
51,5,mMTC,451.0,451.0,288479.4971601925,0.0,109857988.36116448,2
52,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
52,1,URLLC,821.0,821.0,466140.82221938553,0.0,459065516.66790885,3
52,2,mMTC,444.0,444.0,420777.7362791648,0.0,65907271.80327702,3
52,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
52,4,URLLC,873.0,873.0,548502.0179661575,0.0,15571072400.887222,3
52,5,mMTC,444.0,444.0,288479.4971601925,0.0,109857988.36116448,2
53,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
53,1,URLLC,900.0,900.0,466140.82221938553,0.0,459065516.66790885,3
53,2,mMTC,459.0,459.0,420777.7362791648,0.0,65907271.80327702,3
53,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
53,4,URLLC,876.0,876.0,548502.0179661575,0.0,15571072400.887222,3
53,5,mMTC,458.0,458.0,288479.4971601925,0.0,109857988.36116448,2
54,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
54,1,URLLC,941.0,941.0,466140.82221938553,0.0,459065516.66790885,3
54,2,mMTC,494.0,494.0,420777.7362791648,0.0,65907271.80327702,3
54,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
54,4,URLLC,903.0,903.0,548502.0179661575,0.0,15571072400.887222,3
54,5,mMTC,486.0,486.0,288479.4971601925,0.0,109857988.36116448,2
55,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
55,1,URLLC,821.0,821.0,466140.82221938553,0.0,459065516.66790885,3
55,2,mMTC,439.0,439.0,420777.7362791648,0.0,65907271.80327702,3
55,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
55,4,URLLC,901.0,901.0,548502.0179661575,0.0,15571072400.887222,3
55,5,mMTC,470.0,470.0,288479.4971601925,0.0,109857988.36116448,2
56,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
56,1,URLLC,886.0,886.0,466140.82221938553,0.0,459065516.66790885,3
56,2,mMTC,471.0,471.0,420777.7362791648,0.0,65907271.80327702,3
56,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
56,4,URLLC,889.0,889.0,548502.0179661575,0.0,15571072400.887222,3
56,5,mMTC,497.0,497.0,288479.4971601925,0.0,109857988.36116448,2
57,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
57,1,URLLC,868.0,868.0,466140.82221938553,0.0,459065516.66790885,3
57,2,mMTC,454.0,454.0,420777.7362791648,0.0,65907271.80327702,3
